Number,Trench,Level,Layer,General Unit,gou, Original Type,Gtype,Type,xold,yold,x,y,z,Altitude,Orientation_old,Orientation,Dip,Degree,max,Length,Width,Thickness,Weight,lwratio,Lgroup,Wgroup,New category,Technological category,Rock type,Row material,Weathering,Rounddegree,Roundness
T2:161,T2,11,4,,,B,B,B,101.6,100.55,808.0341725,629.7475923,0.934425,934.425,352,172,352,22,,,,,,,,,B,,,,,,
T2:162,T2,11,4,,,B,B,B,101.64,100.55,808.0342088,629.7475754,0.93446,934.46,39,39,0,0,,,,,,,,,B,,,,,,
T2:163,T2,11,4,,,T,B,B,101.75,100.66,808.0343549,629.7476286,0.93444,934.44,44,44,44,25,,,,,,,,,B,,,,,,
T2:164,T2,11,4,,,B,B,B,100.06,100.49,808.0327515,629.7481887,0.93442,934.42,251,71,,,,,,,,,,,B,,,,,,
T2:165,T2,11,4,,,B,B,B,101.81,99.1,808.0337501,629.7461894,0.93443,934.43,299,119,0,0,,,,,,,,,B,,,,,,
T2:166,T2,11,4,,,B,B,B,100.24,99.04,808.0323018,629.7467985,0.93442,934.42,333,153,154,33,,,,,,,,,B,,,,,,
T2:167,T2,11,4,,,B,B,B,102.14,99.28,808.0341252,629.7462131,0.93444,934.44,289,109,0,0,,,,,,,,,B,,,,,,
T2:168,T2,11,4,,,B,B,B,102.24,99.05,808.0341186,629.7459624,0.93444,934.44,279,99,85,19,,,,,,,,,B,,,,,,
T2:170,T2,11,4,,,B,B,B,100.76,100.05,808.0331999,629.7474941,0.93442,934.42,15,15,199,43,,,,,,,,,B,,,,,,
T2:173,T2,11,4,,,B,B,B,103.54,99.15,808.0353391,629.7455036,0.93443,934.43,116,116,0,0,,,,,,,,,B,,,,,,
T2:174,T2,11,4,,,B,B,B,104.68,99.42,808.0364864,629.7452666,0.93441,934.41,114,114,0,0,,,,,,,,,B,,,,,,
T2:175,T2,11,4,,,B,B,B,104.41,99.51,808.0362797,629.7454622,0.93441,934.41,104,104,284,9,,,,,,,,,B,,,,,,
T2:176,T2,11,4,,,T,B,B,104.29,99.43,808.0361371,629.7454405,0.934417,934.417,309,129,0,0,,,,,,,,,B,,,,,,
T2:177,T2,11,4,,,B,B,B,104.2,99.3,808.0360006,629.7453607,0.934417,934.417,70,70,70,44,,,,,,,,,B,,,,,,
T2:178,T2,11,4,,,B,B,B,104.06,99.02,808.0357554,629.7451661,0.93447,934.47,334,154,156,63,,,,,,,,,B,,,,,,
T2:179,T2,11,4,,,B,B,B,102.22,99.54,808.0343076,629.7464149,0.934435,934.435,155,155,330,10,,,,,,,,,B,,,,,,
T2:180,T2,11,4,,,B,B,B,102.66,99.59,808.0347275,629.7462743,0.934452,934.452,0,0.5,0,0,,,,,,,,,B,,,,,,
T2:181,T2,11,4,,,B,B,B,102.78,98.13,808.0342193,629.7449004,0.934442,934.442,282,102,287,17,,,,,,,,,B,,,,,,
T2:182,T2,11,4,,,B,B,B,102.43,99.84,808.0346247,629.7465981,0.934462,934.462,115,115,0,0,,,,,,,,,B,,,,,,
T2:184,T2,11,4,,,B,B,B,103.21,99.51,808.0351921,629.7459694,0.93442,934.42,0,0.5,180,3,,,,,,,,,B,,,,,,
T2:185,T2,12,4,,,B,B,B,102.82,101.09,808.0355064,629.7475661,0.934327,934.327,139,139,0,0,,,,,,,,,B,,,,,,
T2:188,T2,12,4,,,B,B,B,102.02,101.73,808.0350518,629.7484842,0.934405,934.405,335,155,335,16,,,,,,,,,B,,,,,,
T2:190,T2,12,4,,,B,B,B,100.65,101.44,808.0336876,629.7488004,0.93438,934.38,350,170,165,14,,,,,,,,,B,,,,,,
T2:191,T2,12,4,,,B,B,B,100.4,101.58,808.0335202,629.7490329,0.934385,934.385,125,125,125,32,,,,,,,,,B,,,,,,
T2:192,T2,12,4,,,B,B,B,100.29,101.38,808.033336,629.7488981,0.934372,934.372,94,94,273,31,,,,,,,,,B,,,,,,
T2:193,T2,12,4,,,T,B,B,100.15,101.37,808.0332049,629.7489482,0.93438,934.38,311,131,311,39,,,,,,,,,B,,,,,,
T2:194,T2,12,4,,,B,B,B,100.2,101.7,808.0333897,629.7492262,0.934382,934.382,355,175,355,29,,,,,,,,,B,,,,,,
T2:195,T2,12,4,,,B,B,B,100.24,101.72,808.0334344,629.7492274,0.934365,934.365,215,35,215,0,,,,,,,,,B,,,,,,
T2:196,T2,12,4,,,B,B,B,100.18,101.76,808.0333969,629.749289,0.93436,934.36,3,3,0,0,,,,,,,,,B,,,,,,
T2:197,T2,12,4,,,B,B,B,101.92,101.33,808.0347922,629.748164,0.934375,934.375,343,163,0,0,,,,,,,,,B,,,,,,
T2:198,T2,12,4,,,B,B,B,101.58,101.39,808.0345094,629.748362,0.934382,934.382,358,178,180,32,,,,,,,,,B,,,,,,
T2:199,T2,12,4,,,B,B,B,100.09,100.29,808.0326941,629.7479948,0.934415,934.415,0,0.5,185,0,,,,,,,,,B,,,,,,
T2:200,T2,12,4,,,B,B,B,100.04,100.31,808.0326573,629.748034,0.93438,934.38,113,113,0,0,,,,,,,,,B,,,,,,
T2:201,T2,12,4,,,B,B,B,100.82,101.93,808.0340488,629.7491726,0.934382,934.382,95,95,95,51,,,,,,,,,B,,,,,,
T2:202,T2,12,4,,,B,B,B,100.71,100.16,808.0332011,629.747615,0.934405,934.405,59,59,238,24,,,,,,,,,B,,,,,,
T2:203,T2,12,4,,,B,B,B,100.69,100.16,808.033183,629.7476234,0.934405,934.405,263,83,263,41,,,,,,,,,B,,,,,,
T2:205,T2,12,4,,,T,B,B,100.69,100.21,808.0332041,629.7476687,0.93439,934.39,14,14,0,0,,,,,,,,,B,,,,,,
T2:206,T2,12,4,,,B,B,B,103.87,101.04,808.0364369,629.7470771,0.93435,934.35,0,0.5,0,0,,,,,,,,,B,,,,,,
T2:207,T2,12,4,,,B,B,B,103.94,101.1,808.0365257,629.7471019,0.934363,934.363,330,150,152,17,,,,,,,,,B,,,,,,
T2:208,T2,12,4,,,B,B,B,103.78,101.25,808.0364441,629.7473054,0.934353,934.353,243,64,0,0,,,,,,,,,B,,,,,,
T2:209,T2,12,4,,,B,B,B,103.9,102,808.0368698,629.7479345,0.934403,934.403,204,24,151,37,,,,,,,,,B,,,,,,
T2:210,T2,12,4,,,S,S,S,103.39,101.82,808.0363315,629.7479869,0.934373,934.373,90,90,0,0,42,42,34,23,34,1.235294118,m,m,FP,Core,Brecciated chert,BC,0,R0,0
T2:213,T2,12,4,,,B,B,B,103.11,101.49,808.0359383,629.7478061,0.93439,934.39,347,167,157,8,,,,,,,,,B,,,,,,
T2:214,T2,12,4,,,S,S,S,103.2,101.28,808.0359311,629.7475777,0.934348,934.348,171,171,0,0,31,31,19,15,8,1.631578947,m,m,DP,Chunk,Brecciated chert,BC,1,R1,1
T2:217,T2,12,4,,,B,B,B,104.84,101.63,808.0375653,629.7472019,0.93439,934.39,135,135,310,11,,,,,,,,,B,,,,,,
T2:218,T2,12,4,,,B,B,B,104.84,101.28,808.0374174,629.7468847,0.934383,934.383,155,155,155,47,,,,,,,,,B,,,,,,
T2:219,T2,12,4,,,B,B,B,104.72,101.17,808.0372622,629.7468357,0.934363,934.363,57,57,241,32,,,,,,,,,B,,,,,,
T2:220,T2,12,4,,,T,B,B,104.63,101.26,808.0372186,629.7469553,0.934383,934.383,209,29,209,23,,,,,,,,,B,,,,,,
T2:221,T2,12,4,,,B,B,B,104.53,101.22,808.0371111,629.7469613,0.934375,934.375,348,168,169,35,,,,,,,,,B,,,,,,
T2:222,T2,12,4,,,B,B,B,104.43,101.14,808.0369867,629.7469311,0.934375,934.375,43,43,224,35,,,,,,,,,B,,,,,,
T2:225,T2,12,4,,,T,B,B,103.09,101.75,808.03603,629.7480502,0.934353,934.353,354,174,0,0,,,,,,,,,B,,,,,,
T2:226,T2,12,4,,,B,B,B,102.71,100.05,808.0349672,629.7466701,0.934368,934.368,33,33,33,17,,,,,,,,,B,,,,,,
T2:228,T2,12,4,,,B,B,B,102.82,100.16,808.0351134,629.7467233,0.93435,934.35,272,92,0,0,,,,,,,,,B,,,,,,
T2:229,T2,12,4,,,B,B,B,102.83,100.28,808.0351732,629.7468278,0.934353,934.353,142,142,322,14,,,,,,,,,B,,,,,,
T2:230,T2,12,4,,,B,B,B,102.11,100.3,808.0345291,629.7471502,0.934358,934.358,43,43,223,23,,,,,,,,,B,,,,,,
T2:236,T2,12,4,,,B,B,B,104.1,100.62,808.0364678,629.7465992,0.934353,934.353,284,104,0,0,,,,,,,,,B,,,,,,
T2:237,T2,12,4,,,T,B,B,104.9,100.59,808.0371802,629.746234,0.934388,934.388,276,96,276,32,,,,,,,,,B,,,,,,
T2:238,T2,12,4,,,T,B,B,104.46,101.85,808.0373139,629.7475619,0.934335,934.335,125,125,308,38,,,,,,,,,B,,,,,,
T2:240,T2,12,4,,,B,B,B,101.28,100.91,808.0340346,629.7480538,0.93438,934.38,133,133,314,5,,,,,,,,,B,,,,,,
T2:242,T2,12,4,,,B,B,B,100.59,99.14,808.0326613,629.7467412,0.934393,934.393,292,112,292,40,,,,,,,,,B,,,,,,
T2:246,T2,12,4,,,B,B,B,100.67,99.69,808.0329662,629.7472059,0.934388,934.388,45,45,0,0,,,,,,,,,B,,,,,,
T2:249,T2,12,4,,,B,B,B,101.52,99.9,808.0338253,629.747037,0.934398,934.398,334,154,157,12,,,,,,,,,B,,,,,,
T2:250,T2,12,4,,,B,B,B,102.88,99.82,808.0350241,629.7463898,0.93442,934.42,345,165,150,64,,,,,,,,,B,,,,,,
T2:251,T2,12,4,,,T,B,B,102.92,99.69,808.0350054,629.7462551,0.934438,934.438,249,69,0,0,,,,,,,,,B,,,,,,
T2:252,T2,12,4,,,B,B,B,102.75,99.34,808.0347034,629.7460097,0.934388,934.388,170,170,0,0,,,,,,,,,B,,,,,,
T2:254,T2,12,4,,,B,B,B,102.55,98.15,808.0340193,629.7450157,0.934413,934.413,270,90,270,11,,,,,,,,,B,,,,,,
T2:256,T2,12,4,,,B,B,B,102.14,99.66,808.0342858,629.7465575,0.934418,934.418,204,24,30,11,,,,,,,,,B,,,,,,
T2:257,T2,12,4,,,T,B,B,102.09,99.74,808.0342743,629.7466511,0.934415,934.415,317,137,0,0,,,,,,,,,B,,,,,,
T2:258,T2,12,4,,,B,B,B,102.92,99.49,808.0349209,629.7460738,0.934415,934.415,78,78,274,38,,,,,,,,,B,,,,,,
T2:259,T2,12,4,,,B,B,B,102.76,100.44,808.0351773,629.7470024,0.934373,934.373,20,20,0,0,,,,,,,,,B,,,,,,
T2:261,T2,12,4,,,B,B,B,102.19,100.88,808.0348467,629.7476421,0.934395,934.395,88,88,0,0,,,,,,,,,B,,,,,,
T2:262,T2,12,4,,,B,B,B,103.5,100.79,808.0359959,629.7470069,0.934375,934.375,244,64,0,0,,,,,,,,,B,,,,,,
T2:263,T2,12,4,,,B,B,B,103.43,100.78,808.0359282,629.7470274,0.934385,934.385,65,65,240,28,,,,,,,,,B,,,,,,
T2:264,T2,12,4,,,T,B,B,103.42,100.87,808.0359572,629.7471132,0.934398,934.398,351,171,173,29,,,,,,,,,B,,,,,,
T2:265,T2,12,4,,,B,B,B,103.35,99.53,808.0353275,629.7459283,0.934383,934.383,330,150,0,0,,,,,,,,,B,,,,,,
T2:266,T2,12,4,,,T,B,B,104.65,100.66,808.0369832,629.7464031,0.934373,934.373,108,108,287,7,,,,,,,,,B,,,,,,
T2:267,T2,12,4,,,B,B,B,104.31,99.18,808.0360496,629.7452054,0.934388,934.388,114,114,0,0,,,,,,,,,B,,,,,,
T2:268,T2,12,4,,,B,B,B,104,99.71,808.0359926,629.7458168,0.934388,934.388,104,104,290,19,,,,,,,,,B,,,,,,
T2:269,T2,12,4,,,B,B,B,103.24,99.21,808.0350926,629.7456848,0.934383,934.383,186,6,6,16,,,,,,,,,B,,,,,,
T2:271,T2,12,4,,,B,B,B,104.32,100,808.0364052,629.7459444,0.934383,934.383,43,43,222,32,,,,,,,,,B,,,,,,
T2:272,T2,12,4,,,B,B,B,102.79,100.72,808.0353228,629.7472435,0.934368,934.368,11,11,0,0,,,,,,,,,B,,,,,,
T2:273,T2,12,4,,,B,B,B,102.79,100.5,808.0352299,629.7470441,0.934363,934.363,355,175,0,0,,,,,,,,,B,,,,,,
T2:274,T2,12,4,,,B,B,B,102.78,100.38,808.0351701,629.7469396,0.934368,934.368,45,45,90,90,,,,,,,,,B,,,,,,
T2:275,T2,12,4,,,B,B,B,102.74,98.61,808.0343858,629.7453523,0.93438,934.38,217,37,0,0,,,,,,,,,B,,,,,,
T2:276,T2,12,4,,,B,B,B,102.79,100.23,808.0351158,629.7467994,0.934363,934.363,181,1,0,0,,,,,,,,,B,,,,,,
T2:277,T2,12,4,,,B,B,B,102.89,100.95,808.0355107,629.7474097,0.934373,934.373,217,37,0,0,,,,,,,,,B,,,,,,
T2:280,T2,13,4,,,B,B,B,104.3,101.58,808.0370548,629.7473848,0.934307,934.307,215,35,204,14,,,,,,,,,B,,,,,,
T2:281,T2,13,4,,,B,B,B,104.45,101.46,808.03714,629.7472126,0.9343,934.3,76,76,0,28,,,,,,,,,B,,,,,,
T2:282,T2,13,4,,,B,B,B,104.66,101.29,808.0372585,629.7469698,0.934312,934.312,159,159,161,27,,,,,,,,,B,,,,,,
T2:284,T2,13,4,,,T,B,B,102.36,101.46,808.0352459,629.7480959,0.9343,934.3,195,15,198,3,,,,,,,,,B,,,,,,
T2:285,T2,13,4,,,B,B,B,101.62,101.11,808.0344273,629.7480914,0.934315,934.315,58,58,244,10,,,,,,,,,B,,,,,,
T2:287,T2,13,4,,,B,B,B,100.77,100.62,808.0334499,629.7480065,0.934332,934.332,33,33,212,22,,,,,,,,,B,,,,,,
T2:290,T2,13,4,,,B,B,B,101.28,100.62,808.0339121,629.747791,0.934365,934.365,43,43,216,17,,,,,,,,,B,,,,,,
T2:291,T2,13,4,,,B,B,B,101.05,100.69,808.0337332,629.7479516,0.934355,934.355,345,165,0,2,,,,,,,,,B,,,,,,
T2:293,T2,13,4,,,B,B,B,102.94,100.38,808.0353151,629.746872,0.934357,934.357,246,66,45,9,,,,,,,,,B,,,,,,
T2:295,T2,13,4,,,B,B,B,102.68,100.62,808.0351809,629.7471993,0.934325,934.325,76,76,244,3,,,,,,,,,B,,,,,,
T2:296,T2,13,4,,,T,B,B,102.48,100.55,808.0349701,629.7472204,0.934332,934.332,248,68,0,4,,,,,,,,,B,,,,,,
T2:297,T2,13,4,,,B,B,B,102.11,100.55,808.0346347,629.7473768,0.934347,934.347,276,96,0,5,,,,,,,,,B,,,,,,
T2:298,T2,13,4,,,B,B,B,102.12,100.27,808.0345255,629.7471188,0.934325,934.325,194,14,202,7,,,,,,,,,B,,,,,,
T2:299,T2,13,4,,,B,B,B,103.75,100.66,808.0361675,629.7467834,0.934352,934.352,353,173,171,33,,,,,,,,,B,,,,,,
T2:300,T2,13,4,,,T,B,B,103.47,101.83,808.0364082,629.7479621,0.93434,934.34,349,169,5,2,,,,,,,,,B,,,,,,
T2:302,T2,13,4,,,B,B,B,103.86,101.88,808.0367828,629.7478426,0.93436,934.36,256,76,255,14,,,,,,,,,B,,,,,,
T2:304,T2,13,4,,,B,B,B,103.87,100.24,808.0360988,629.7463521,0.93434,934.34,69,69,244,21,,,,,,,,,B,,,,,,
T2:305,T2,13,4,,,B,B,B,103.91,100.37,808.03619,629.746453,0.934354,934.354,94,94,287,25,,,,,,,,,B,,,,,,
T2:306,T2,13,4,,,B,B,B,103.93,100.44,808.0362377,629.746508,0.934357,934.357,53,53,0,33,,,,,,,,,B,,,,,,
T2:307,T2,13,4,,,B,B,B,103.93,100.71,808.0363518,629.7467527,0.934365,934.365,3,3,183,21,,,,,,,,,B,,,,,,
T2:312,T2,13,4,,,B,B,B,104.87,100.28,808.037022,629.7459657,0.934335,934.335,64,64,261,5,,,,,,,,,B,,,,,,
T2:314,T2,13,4,,,B,B,B,104.22,100.33,808.036454,629.7462857,0.934346,934.346,326,146,340,23,,,,,,,,,B,,,,,,
T2:315,T2,13,4,,,B,B,B,104.79,100.73,808.0371397,629.7464073,0.934335,934.335,125,125,121,44,,,,,,,,,B,,,,,,
T2:319,T2,13,4,,,B,B,B,100.03,99.19,808.0321749,629.7470232,0.934354,934.354,337,157,330,28,,,,,,,,,B,,,,,,
T2:320,T2,13,4,,,B,B,B,100.03,99.39,808.0322594,629.7472045,0.934362,934.362,350,170,164,12,,,,,,,,,B,,,,,,
T2:321,T2,13,4,,,B,B,B,100.66,99.48,808.0328684,629.7470198,0.93432,934.32,32,32,321,0,,,,,,,,,B,,,,,,
T2:322,T2,13,4,,,B,B,B,100.23,99.45,808.032466,629.7471743,0.934335,934.335,352,172,353,16,,,,,,,,,B,,,,,,
T2:323,T2,13,4,,,B,B,B,101.8,99.39,808.0338636,629.7464565,0.934327,934.327,167,167,0,0,,,,,,,,,B,,,,,,
T2:326,T2,13,4,,,T,B,B,102.38,99.69,808.034516,629.7464833,0.934325,934.325,144,144,142,15,,,,,,,,,B,,,,,,
T2:327,T2,13,4,,,B,B,B,102.27,99.56,808.0343614,629.7464119,0.93433,934.33,210,30,0,9,,,,,,,,,B,,,,,,
T2:328,T2,13,4,,,T,B,B,102.19,99.06,808.0340776,629.7459926,0.934345,934.345,207,27,208,11,,,,,,,,,B,,,,,,
T2:330,T2,13,4,,,B,B,B,102.38,100.72,808.0349513,629.7474167,0.934337,934.337,167,167,352,21,,,,,,,,,B,,,,,,
T2:332,T2,13,4,,,B,B,B,103.3,99.18,808.0351343,629.7456323,0.934345,934.345,246,66,264,22,,,,,,,,,B,,,,,,
T2:333,T2,13,4,,,B,B,B,103.03,99.79,808.0351473,629.7462992,0.934375,934.375,192,12,192,25,,,,,,,,,B,,,,,,
T2:334,T2,13,4,,,B,B,B,103,99.84,808.0351413,629.7463572,0.93437,934.37,176,176,10,5,,,,,,,,,B,,,,,,
T2:336,T2,13,4,,,B,B,B,104.68,99.16,808.0363765,629.7450309,0.934332,934.332,20,20,199,31,,,,,,,,,B,,,,,,
T2:337,T2,13,4,,,B,B,B,103.28,98.21,808.0347062,629.7447616,0.93435,934.35,192,12,9,5,,,,,,,,,B,,,,,,
T2:340,T2,13,4,,,B,B,B,102.24,98.56,808.0339116,629.7455183,0.934377,934.377,0,0.5,175,20,,,,,,,,,B,,,,,,
T2:341,T2,14,4,,,B,B,B,100.78,101,808.0336195,629.7483467,0.934305,934.305,38,38,0,0,,,,,,,,,B,,,,,,
T2:344,T2,14,4,,,B,B,B,100.7,101.19,808.0336273,629.7485527,0.93431,934.31,190,10,10,5,,,,,,,,,B,,,,,,
T2:345,T2,14,4,,,B,B,B,100.85,101.59,808.0339323,629.7488518,0.934379,934.379,199,19,112,25,,,,,,,,,B,,,,,,
T2:346,T2,14,4,,,B,B,B,100.61,101.55,808.0336979,629.748917,0.934335,934.335,328,148,331,12,,,,,,,,,B,,,,,,
T2:347,T2,14,4,,,B,B,B,100.1,101.47,808.0332019,629.74906,0.934335,934.335,255,75,244,28,,,,,,,,,B,,,,,,
T2:348,T2,14,4,,,B,B,B,100.93,101.76,808.0340766,629.7489721,0.93434,934.34,78,78,115,15,,,,,,,,,B,,,,,,
T2:349,T2,14,4,,,B,B,B,100.66,101.82,808.0338573,629.7491406,0.93436,934.36,71,71,78,10,,,,,,,,,B,,,,,,
T2:350,T2,14,4,,,B,B,B,100.59,101.71,808.0337474,629.7490704,0.93436,934.36,354,174,90,8,,,,,,,,,B,,,,,,
T2:351,T2,14,4,,,B,B,B,100.31,100.03,808.0327836,629.7476662,0.934316,934.316,353,173,357,4,,,,,,,,,B,,,,,,
T2:352,T2,14,4,,,B,B,B,100.15,100.25,808.0327316,629.7479332,0.9343,934.3,346,166,0,0,,,,,,,,,B,,,,,,
T2:353,T2,14,4,,,B,B,B,100.29,99.37,808.0324866,629.7470765,0.934305,934.305,192,12,0,0,,,,,,,,,B,,,,,,
T2:354,T2,14,4,,,B,B,B,101.59,98.14,808.033145,629.7454123,0.934347,934.347,171,171,192,12,,,,,,,,,B,,,,,,
T2:355,T2,14,4,,,B,B,B,101.8,101.1,808.0345862,629.7480063,0.934301,934.301,5,5,180,17,,,,,,,,,B,,,,,,
T2:357,T2,14,4,,,B,B,B,101.31,101.07,808.0341294,629.7481861,0.934275,934.275,85,85,257,16,,,,,,,,,B,,,,,,
T2:359,T2,14,4,,,B,B,B,101.73,101.3,808.0346073,629.7482171,0.934247,934.247,30,30,206,7,,,,,,,,,B,,,,,,
T2:360,T2,14,4,,,B,B,B,101.76,101.41,808.034681,629.7483041,0.934265,934.265,132,132,,,,,,,,,,,B,,,,,,
T2:362,T2,14,4,,,B,B,B,101.32,99.29,808.0333863,629.7465687,0.934307,934.307,30,30,173,13,,,,,,,,,B,,,,,,
T2:365,T2,14,4,,,B,B,B,101.36,99.72,808.0336042,629.7469415,0.934345,934.345,142,142,328,5,,,,,,,,,B,,,,,,
T2:368,T2,14,4,,,B,B,B,101.93,98.06,808.0334193,629.7451962,0.93432,934.32,65,65,60,7,,,,,,,,,B,,,,,,
T2:369,T2,14,4,,,B,B,B,102.31,101.28,808.0351245,629.7479539,0.934257,934.257,48,48,,0,,,,,,,,,B,,,,,,
T2:371,T2,14,4,,,B,B,B,103.71,101.07,808.0363046,629.7471719,0.934276,934.276,201,21,212,42,,,,,,,,,B,,,,,,
T2:373,T2,14,4,,,B,B,B,103.41,101.14,808.0360622,629.7473621,0.934275,934.275,213,33,,0,,,,,,,,,B,,,,,,
T2:375,T2,14,4,,,T,B,B,103.74,101.82,808.0366487,629.7478389,0.934327,934.327,69,69,69,13,,,,,,,,,B,,,,,,
T2:376,T2,14,4,,,B,B,B,103.41,101.87,808.0363707,629.7480237,0.934295,934.295,101,101,284,25,,,,,,,,,B,,,,,,
T2:377,T2,14,4,,,T,B,B,103.78,101.92,808.0367272,629.7479127,0.93427,934.27,301,121,110,7,,,,,,,,,B,,,,,,
T2:378,T2,14,4,,,B,B,B,103.59,100.23,808.0358408,629.7464613,0.934275,934.275,94,94,,0,,,,,,,,,B,,,,,,
T2:379,T2,14,4,,,B,B,B,103.86,100.36,808.0361405,629.746465,0.934277,934.277,87,87,355,20,,,,,,,,,B,,,,,,
T2:380,T2,14,4,,,B,B,B,103.16,100.71,808.035654,629.7470781,0.93428,934.28,277,97,98,15,,,,,,,,,B,,,,,,
T2:382,T2,14,4,,,T,B,B,103.12,100.82,808.0356642,629.7471947,0.93429,934.29,349,169,352,28,,,,,,,,,B,,,,,,
T2:384,T2,14,4,,,T,B,B,103.61,99.22,808.0354321,629.7455375,0.93431,934.31,233,53,234,12,,,,,,,,,B,,,,,,
T2:385,T2,14,4,,,B,B,B,103.52,98.21,808.0349237,629.7446602,0.934335,934.335,229,49,238,11,,,,,,,,,B,,,,,,
T2:386,T2,14,4,,,B,B,B,103.78,98.33,808.0352101,629.7446591,0.934335,934.335,257,77,258,14,,,,,,,,,B,,,,,,
T2:387,T2,14,4,,,B,B,B,104.7,101.02,808.0371807,629.7467082,0.934275,934.275,125,125,61,55,,,,,,,,,B,,,,,,
T2:388,T2,14,4,,,B,B,B,104.73,101.11,808.0372459,629.7467771,0.934279,934.279,208,28,215,29,,,,,,,,,B,,,,,,
T2:389,T2,14,4,,,B,B,B,104.94,101.25,808.0374954,629.7468152,0.93426,934.26,115,115,,0,,,,,,,,,B,,,,,,
T2:394,T2,14,4,,,B,B,B,104.75,101.65,808.0374922,629.747258,0.934275,934.275,357,177,353,7,,,,,,,,,B,,,,,,
T2:395,T2,14,4,,,B,B,B,104.33,101.5,808.0370482,629.7472996,0.93427,934.27,279,99,184,42,,,,,,,,,B,,,,,,
T2:399,T2,14,4,,,B,B,B,104.97,100.78,808.0373239,629.7463766,0.934335,934.335,328,148,328,20,,,,,,,,,B,,,,,,
T2:402,T2,14,4,,,T,B,B,102.13,98.14,808.0336344,629.7451841,0.93434,934.34,151,151,250,26,,,,,,,,,B,,,,,,
T2:403,T2,14,4,,,B,B,B,102.08,99.72,808.0342568,629.7466372,0.93433,934.33,232,52,53,35,,,,,,,,,B,,,,,,
T2:405,T2,14,4,,,B,B,B,102.74,98.25,808.0342337,629.7450261,0.934357,934.357,90,90,271,19,,,,,,,,,B,,,,,,
T2:408,T2,14,4,,,B,B,B,104.4,99.39,808.0362199,629.7453577,0.934355,934.355,3,3,253,6,,,,,,,,,B,,,,,,
T2:410,T2,14,4,,,B,B,B,104.48,98,808.035705,629.7440642,0.934315,934.315,254,74,,0,,,,,,,,,B,,,,,,
T2:411,T2,14,4,,,B,B,B,102.63,100.84,808.0352286,629.7474199,0.934295,934.295,275,95,,0,,,,,,,,,B,,,,,,
T2:412,T2,15,4,,,B,B,B,100.65,101,808.0335017,629.7484016,0.934213,934.213,98,98,275,38,,,,,,,,,B,,,,,,
T2:413,T2,15,4,,,B,B,B,100.58,101.02,808.0334467,629.7484493,0.934208,934.208,27,27,207,7,,,,,,,,,B,,,,,,
T2:414,T2,15,4,,,B,B,B,100.73,101.08,808.033608,629.7484403,0.934218,934.218,110,110,,0,,,,,,,,,B,,,,,,
T2:415,T2,15,4,,,B,B,B,100.14,101.03,808.0330522,629.7486443,0.934218,934.218,172,172,,0,,,,,,,,,B,,,,,,
T2:416,T2,15,4,,,B,B,B,100.86,101.44,808.033878,629.7487116,0.934218,934.218,92,92,,0,,,,,,,,,B,,,,,,
T2:417,T2,15,4,,,B,B,B,100.96,101.65,808.0340573,629.7488597,0.934253,934.253,89,89,,0,,,,,,,,,B,,,,,,
T2:418,T2,15,4,,,B,B,B,100.12,101.64,808.0332918,629.7492056,0.934223,934.223,307,127,127,13,,,,,,,,,B,,,,,,
T2:419,T2,15,4,,,B,B,B,100.16,101.74,808.0333703,629.7492793,0.934209,934.209,11,11,188,15,,,,,,,,,B,,,,,,
T2:420,T2,15,4,,,B,B,B,100.45,100.16,808.0329655,629.7477248,0.93422,934.22,322,142,,0,,,,,,,,,B,,,,,,
T2:421,T2,15,4,,,B,B,B,100.07,100.14,808.0326126,629.7478673,0.93423,934.23,233,53,,0,,,,,,,,,B,,,,,,
T2:422,T2,15,4,,,B,B,B,100.14,100.49,808.032824,629.7481549,0.934259,934.259,57,57,233,21,,,,,,,,,B,,,,,,
T2:423,T2,15,4,,,B,B,B,100.82,101.76,808.0339769,629.7490186,0.934213,934.213,352,172,170,11,,,,,,,,,B,,,,,,
T2:426,T2,15,4,,,B,B,B,101.36,101.61,808.034403,629.7486544,0.934193,934.193,347,167,,0,,,,,,,,,B,,,,,,
T2:427,T2,15,4,,,B,B,B,101.32,100.28,808.0338046,629.7474659,0.93421,934.21,275,95,95,10,,,,,,,,,B,,,,,,
T2:428,T2,15,4,,,B,B,B,101.41,100.36,808.03392,629.7475004,0.93422,934.22,144,144,321,7,,,,,,,,,B,,,,,,
T2:429,T2,15,4,,,B,B,B,101.54,100.75,808.0342027,629.7477989,0.934238,934.238,147,147,325,25,,,,,,,,,B,,,,,,
T2:430,T2,15,4,,,B,B,B,101.1,100.63,808.0337532,629.7478761,0.934278,934.278,320,140,,0,,,,,,,,,B,,,,,,
T2:431,T2,15,4,,,B,B,B,102.23,101.03,808.0349463,629.7477611,0.934199,934.199,4,4,185,10,,,,,,,,,B,,,,,,
T2:432,T2,15,4,,,T,B,B,102.24,101.15,808.0350061,629.7478656,0.934193,934.193,338,158,157,23,,,,,,,,,B,,,,,,
T2:433,T2,15,4,,,B,B,B,102.06,101.18,808.0348556,629.7479689,0.934203,934.203,40,40,225,39,,,,,,,,,B,,,,,,
T2:434,T2,15,4,,,B,B,B,102.2,101.25,808.0350121,629.7479732,0.934192,934.192,265,85,85,37,,,,,,,,,B,,,,,,
