Number,Trench,Level,Layer,General Unit,gou, Original Type,Gtype,Type,xold,yold,x,y,z,Altitude,Orientation_old,Orientation,Dip,Degree,max,Length,Width,Thickness,Weight,lwratio,Lgroup,Wgroup,New category,Technological category,Rock type,Row material,Weathering,Rounddegree,Roundness
TOK1307,TOK,16,,,,S,S,S,101.03,104.99,808.1228766,629.7130973,0.938108,938.108,338,158,,0,65,65,65,27,101,1,l,l,DP,BP,Chert,C,1,R1,1
TOK1311,TOK,16,,,,B,B,B,101.6,104.78,808.1231782,629.71257,0.938157,938.157,1,1,,0,,,,,,,,,B,,,,,,
TOK1312,TOK,16,,,,S,S,S,101.24,104.21,808.122536,629.7123648,0.93811,938.11,20,20,130,32,91,91,60,55,200,1.516666667,l,l,FP,Core,Brecciated chert,BC,0,R0,0
TOK1313,TOK,16,,,,S,S,S,101.38,103.79,808.1223733,629.7119531,0.938067,938.067,29,29,,0,71,71,68,18,78,1.044117647,l,l,DP,BPF,Brecciated chert,BC,0,R1,1
TOK1315,TOK,16,,,,B,B,B,101.27,103.6,808.1221669,629.7118782,0.938075,938.075,355,175,,0,,,,,,,,,B,,,,,,
TOK1316,TOK,16,,,,B,B,B,101.88,103.72,808.1227113,629.7115781,0.938111,938.111,109,109,91,14,,,,,,,,,B,,,,,,
TOK1317,TOK,16,,,,B,B,B,101.95,103.62,808.1227006,629.7114565,0.938114,938.114,129,129,,0,,,,,,,,,B,,,,,,
TOK1318,TOK,16,,,,S,S,S,101.9,103.59,808.1226431,629.7114656,0.938104,938.104,17,17,,0,38,38,30,19,25,1.266666667,m,m,DP,Chunk,Brecciated chert,BC,1,R1,1
TOK1319,TOK,16,,,,S,S,S,101.03,103.07,808.1216424,629.7116265,0.938239,938.239,351,171,,0,101,101,88,75,956,1.147727273,l,l,FP,Core,Dolomite,SD,1,R1,1
TOK1322,TOK,16,,,,B,B,B,101.52,101.6,808.1210728,629.7101855,0.93817,938.17,2,2,,0,,,,,,,,,B,,,,,,
TOK1324,TOK,16,,,,B,B,B,101.48,100.39,808.1202644,629.7092844,0.938129,938.129,41,41,,0,,,,,,,,,B,,,,,,
TOK1325,TOK,16,,,,S,S,S,101.63,100.21,808.1202636,629.7090501,0.938176,938.176,330,150,7,26,42,42,38,32,56,1.105263158,m,l,DP,Chunk,Chert,C,1,R0,0
TOK1326,TOK,16,,,,S,S,S,101.07,99.55,808.1194104,629.7089045,0.938109,938.109,344,164,,0,25,25,14,11,5,1.785714286,m,m,DP,Chunk,Chert,C,2,R2,2
TOK1327,TOK,16,,,,S,S,U,100.2,104.66,808.1220286,629.713378,0.938111,938.111,15,15,300,37,115,115,80,68,700,1.4375,l,l,UN,UN,Silicious dolomite,SD,,,
TOK1329,TOK,16,,,,B,B,B,100.11,104.39,808.1217862,629.713229,0.938101,938.101,351,171,,0,,,,,,,,,B,,,,,,
TOK1331,TOK,16,,,,S,S,S,100.77,103.96,808.1220153,629.7124754,0.938155,938.155,142,142,,0,,,,,,,,,,,,,,,
TOK1332,TOK,16,,,,B,B,B,100.46,103.82,808.1216879,629.7125674,0.938147,938.147,358,178,,0,,,,,,,,,B,,,,,,
TOK1333,TOK,16,,,,B,B,B,100.18,103.61,808.1213384,629.7125866,0.938193,938.193,27,27,,0,,,,,,,,,B,,,,,,
TOK1334,TOK,16,,,,S,S,S,100.95,103.23,808.1216839,629.7118005,0.938156,938.156,7,7,,0,99,99,59,41,242,1.677966102,l,l,DP,Chunk,Brecciated chert,BC,1,R0,0
TOK1335,TOK,16,,,,S,S,U,100.5,102.09,808.1206065,629.7112165,0.938135,938.135,75,75,,0,22,22,19,17,8,1.157894737,m,m,UN,UN,Chert,C,,,
TOK1336,TOK,16,,,,B,B,B,100.01,102.87,808.1207325,629.712129,0.938202,938.202,22,22,142,55,,,,,,,,,B,,,,,,
TOK1337,TOK,16,,,,S,S,S,100.19,102.73,808.1207804,629.711906,0.938119,938.119,340,160,,0,25,25,18,10,5,1.388888889,m,m,DP,BPF,Chert,C,1,R1,1
TOK1339,TOK,16,,,,B,S,S,100.03,101.5,808.1198672,629.7110667,0.938239,938.239,96,96,,0,40,40,34,12,13,1.176470588,m,m,FP,Tool,Chert,C,1,R1,1
TOK1340,TOK,16,,,,S,S,S,100.98,100.47,808.1199328,629.7096671,0.938143,938.143,344,164,,0,,,,,,,,,,,,,,,
TOK1342,TOK,16,,,,B,B,B,101.53,104.48,808.1229317,629.7123852,0.93808,938.08,133,133,,0,,,,,,,,,B,,,,,,
TOK1343,TOK,17,,,,B,B,B,104.55,104.99,808.1255729,629.7108346,0.938063,938.063,65,65,,0,,,,,,,,,B,,,,,,
